user_id,academic_year,branch,skills,quiz_q1_response,quiz_q2_response,quiz_q3_response,quiz_q4_response,quiz_q5_response,quiz_q6_response,quiz_q7_response,quiz_q8_response,quiz_q9_response,quiz_q10_response,visual_percent,auditory_percent,kinesthetic_percent,recommended_format,recommended_courses,recommended_books,recommended_blogs
1,Final Year (BE),Electronics and Computer Engineering,"SQL, CSS",C,C,B,B,C,A,C,A,A,A,28,11,61,Projects,"AWS Cloud Essentials, Frontend Crash Course",AI: A Modern Approach,towardsdatascience.com
2,Third Year (TE),Electronics & Communication,"CSS, React, HTML",A,B,B,B,A,A,C,C,B,A,37,30,33,Videos,Intro to DSA,AI: A Modern Approach,medium.com
3,Third Year (TE),Information Technology,"Figma, CSS",C,B,A,C,C,B,B,A,B,B,12,73,15,Podcasts,"ML Bootcamp, Frontend Crash Course, AWS Cloud Essentials",Clean Code,medium.com
4,Second Year (SE),Information Technology,"Docker, Figma, CSS, JavaScript, Python",B,A,C,C,C,C,A,B,A,A,52,16,32,Videos,"Frontend Crash Course, ML Bootcamp","Clean Code, Python Crash Course",geeksforgeeks.org
5,Final Year (BE),Artificial Intelligence and Machine Learning,"Java, Linux",B,C,C,A,B,C,A,C,C,B,46,48,6,Podcasts,"ML Bootcamp, Frontend Crash Course","Clean Code, Python Crash Course","geeksforgeeks.org, freecodecamp.org"
6,First Year (FE),Information Technology,"C++, CSS, Java, Python, AWS",B,C,B,A,A,C,A,A,A,B,46,14,40,Videos,ML Bootcamp,Clean Code,dev.to
7,Second Year (SE),Artificial Intelligence and Machine Learning,"CSS, C++, Docker, AWS, HTML",B,B,A,A,A,C,C,C,B,B,48,29,23,Videos,Intro to DSA,"Python Crash Course, Clean Code",freecodecamp.org
8,First Year (FE),Electronics and Computer Engineering,"JavaScript, CSS, C++",A,C,C,B,A,C,B,A,A,C,39,14,47,Projects,"Cybersecurity Basics, ML Bootcamp, AWS Cloud Essentials","Design Patterns, AI: A Modern Approach",geeksforgeeks.org
9,Third Year (TE),Electronics and Computer Engineering,"HTML, React, Python, CSS",B,B,C,C,B,C,C,B,B,B,56,17,27,Videos,"AWS Cloud Essentials, Frontend Crash Course",Design Patterns,"geeksforgeeks.org, freecodecamp.org"
10,Third Year (TE),Electronics & Communication,"JavaScript, AWS, Figma, Java, React",A,B,B,B,B,A,C,C,A,A,52,47,1,Videos,ML Bootcamp,"You Don’t Know JS, Design Patterns","towardsdatascience.com, freecodecamp.org"
